"fltdate","Origin","n"
"601",2008-07-19,"BWI",275
"602",2008-07-19,"DCA",176
"603",2008-07-19,"IAD",209
"604",2008-07-20,"BWI",298
"605",2008-07-20,"DCA",229
"606",2008-07-20,"IAD",219
"607",2008-07-21,"BWI",308
"608",2008-07-21,"DCA",263
"609",2008-07-21,"IAD",223
"610",2008-07-22,"BWI",307
"611",2008-07-22,"DCA",261
"612",2008-07-22,"IAD",220
"613",2008-07-23,"BWI",308
"614",2008-07-23,"DCA",262
"615",2008-07-23,"IAD",221
"616",2008-07-24,"BWI",308
"617",2008-07-24,"DCA",262
"618",2008-07-24,"IAD",223
"619",2008-07-25,"BWI",309
"620",2008-07-25,"DCA",262
"621",2008-07-25,"IAD",223
"622",2008-07-26,"BWI",275
"623",2008-07-26,"DCA",175
"624",2008-07-26,"IAD",209
"625",2008-07-27,"BWI",298
"626",2008-07-27,"DCA",229
"627",2008-07-27,"IAD",217
"628",2008-07-28,"BWI",309
"629",2008-07-28,"DCA",262
"630",2008-07-28,"IAD",222
"631",2008-07-29,"BWI",307
"632",2008-07-29,"DCA",260
"633",2008-07-29,"IAD",219
"634",2008-07-30,"BWI",308
"635",2008-07-30,"DCA",261
"636",2008-07-30,"IAD",220
"637",2008-07-31,"BWI",308
"638",2008-07-31,"DCA",261
"639",2008-07-31,"IAD",222
"640",2008-08-01,"BWI",309
"641",2008-08-01,"DCA",260
"642",2008-08-01,"IAD",220
"643",2008-08-02,"BWI",275
"644",2008-08-02,"DCA",175
"645",2008-08-02,"IAD",205
"646",2008-08-03,"BWI",298
"647",2008-08-03,"DCA",229
"648",2008-08-03,"IAD",216
"649",2008-08-04,"BWI",309
"650",2008-08-04,"DCA",262
"651",2008-08-04,"IAD",220
"652",2008-08-05,"BWI",306
"653",2008-08-05,"DCA",260
"654",2008-08-05,"IAD",215
"655",2008-08-06,"BWI",307
"656",2008-08-06,"DCA",261
"657",2008-08-06,"IAD",216
"658",2008-08-07,"BWI",308
"659",2008-08-07,"DCA",261
"660",2008-08-07,"IAD",219
"661",2008-08-08,"BWI",309
"662",2008-08-08,"DCA",261
"663",2008-08-08,"IAD",220
"664",2008-08-09,"BWI",274
"665",2008-08-09,"DCA",175
"666",2008-08-09,"IAD",203
"667",2008-08-10,"BWI",297
"668",2008-08-10,"DCA",229
"669",2008-08-10,"IAD",216
"670",2008-08-11,"BWI",307
"671",2008-08-11,"DCA",262
"672",2008-08-11,"IAD",219
"673",2008-08-12,"BWI",305
"674",2008-08-12,"DCA",260
"675",2008-08-12,"IAD",215
"676",2008-08-13,"BWI",306
"677",2008-08-13,"DCA",261
"678",2008-08-13,"IAD",215
"679",2008-08-14,"BWI",308
"680",2008-08-14,"DCA",261
"681",2008-08-14,"IAD",220
"682",2008-08-15,"BWI",308
"683",2008-08-15,"DCA",261
"684",2008-08-15,"IAD",220
"685",2008-08-16,"BWI",274
"686",2008-08-16,"DCA",175
"687",2008-08-16,"IAD",205
"688",2008-08-17,"BWI",297
"689",2008-08-17,"DCA",229
"690",2008-08-17,"IAD",217
"691",2008-08-18,"BWI",307
"692",2008-08-18,"DCA",262
"693",2008-08-18,"IAD",219
"694",2008-08-19,"BWI",300
"695",2008-08-19,"DCA",253
"696",2008-08-19,"IAD",210
"697",2008-08-20,"BWI",304
"698",2008-08-20,"DCA",257
"699",2008-08-20,"IAD",211
"700",2008-08-21,"BWI",306
"701",2008-08-21,"DCA",259
"702",2008-08-21,"IAD",219
"703",2008-08-22,"BWI",308
"704",2008-08-22,"DCA",259
"705",2008-08-22,"IAD",217
"706",2008-08-23,"BWI",247
"707",2008-08-23,"DCA",168
"708",2008-08-23,"IAD",199
"709",2008-08-24,"BWI",280
"710",2008-08-24,"DCA",224
"711",2008-08-24,"IAD",212
"712",2008-08-25,"BWI",301
"713",2008-08-25,"DCA",260
"714",2008-08-25,"IAD",217
"715",2008-08-26,"BWI",296
"716",2008-08-26,"DCA",253
"717",2008-08-26,"IAD",211
"718",2008-08-27,"BWI",299
"719",2008-08-27,"DCA",257
"720",2008-08-27,"IAD",212
"721",2008-08-28,"BWI",302
"722",2008-08-28,"DCA",259
"723",2008-08-28,"IAD",217
"724",2008-08-29,"BWI",303
"725",2008-08-29,"DCA",252
"726",2008-08-29,"IAD",219
"727",2008-08-30,"BWI",234
"728",2008-08-30,"DCA",157
"729",2008-08-30,"IAD",183
"730",2008-08-31,"BWI",219
"731",2008-08-31,"DCA",148
"732",2008-08-31,"IAD",166
"733",2008-09-01,"BWI",277
"734",2008-09-01,"DCA",228
"735",2008-09-01,"IAD",193
"736",2008-09-02,"BWI",298
"737",2008-09-02,"DCA",255
"738",2008-09-02,"IAD",204
"739",2008-09-03,"BWI",293
"740",2008-09-03,"DCA",252
"741",2008-09-03,"IAD",201
"742",2008-09-04,"BWI",290
"743",2008-09-04,"DCA",253
"744",2008-09-04,"IAD",198
"745",2008-09-05,"BWI",291
"746",2008-09-05,"DCA",253
"747",2008-09-05,"IAD",202
"748",2008-09-06,"BWI",235
"749",2008-09-06,"DCA",156
"750",2008-09-06,"IAD",169
"751",2008-09-07,"BWI",266
"752",2008-09-07,"DCA",218
"753",2008-09-07,"IAD",187
"754",2008-09-08,"BWI",285
"755",2008-09-08,"DCA",252
"756",2008-09-08,"IAD",199
"757",2008-09-09,"BWI",279
"758",2008-09-09,"DCA",246
"759",2008-09-09,"IAD",194
"760",2008-09-10,"BWI",283
"761",2008-09-10,"DCA",251
"762",2008-09-10,"IAD",194
"763",2008-09-11,"BWI",287
"764",2008-09-11,"DCA",252
"765",2008-09-11,"IAD",199
"766",2008-09-12,"BWI",289
"767",2008-09-12,"DCA",251
"768",2008-09-12,"IAD",201
"769",2008-09-13,"BWI",233
"770",2008-09-13,"DCA",155
"771",2008-09-13,"IAD",168
"772",2008-09-14,"BWI",264
"773",2008-09-14,"DCA",217
"774",2008-09-14,"IAD",186
"775",2008-09-15,"BWI",285
"776",2008-09-15,"DCA",252
"777",2008-09-15,"IAD",199
"778",2008-09-16,"BWI",279
"779",2008-09-16,"DCA",246
"780",2008-09-16,"IAD",194
"781",2008-09-17,"BWI",283
"782",2008-09-17,"DCA",251
"783",2008-09-17,"IAD",195
"784",2008-09-18,"BWI",287
"785",2008-09-18,"DCA",252
"786",2008-09-18,"IAD",199
"787",2008-09-19,"BWI",288
"788",2008-09-19,"DCA",252
"789",2008-09-19,"IAD",200
"790",2008-09-20,"BWI",234
"791",2008-09-20,"DCA",155
"792",2008-09-20,"IAD",168
"793",2008-09-21,"BWI",264
"794",2008-09-21,"DCA",217
"795",2008-09-21,"IAD",186
"796",2008-09-22,"BWI",286
"797",2008-09-22,"DCA",252
"798",2008-09-22,"IAD",203
"799",2008-09-23,"BWI",280
"800",2008-09-23,"DCA",246
"801",2008-09-23,"IAD",198
"802",2008-09-24,"BWI",282
"803",2008-09-24,"DCA",251
"804",2008-09-24,"IAD",198
"805",2008-09-25,"BWI",287
"806",2008-09-25,"DCA",252
"807",2008-09-25,"IAD",203
"808",2008-09-26,"BWI",290
"809",2008-09-26,"DCA",251
"810",2008-09-26,"IAD",205
"811",2008-09-27,"BWI",235
"812",2008-09-27,"DCA",155
"813",2008-09-27,"IAD",172
"814",2008-09-28,"BWI",263
"815",2008-09-28,"DCA",217
"816",2008-09-28,"IAD",192
"817",2008-09-29,"BWI",286
"818",2008-09-29,"DCA",252
"819",2008-09-29,"IAD",203
"820",2008-09-30,"BWI",280
"821",2008-09-30,"DCA",246
